"download_count","project","%_of_total_downloads","cumulative_downloads"
"267,740,673","boto3",1.8144,2.0245
"203,850,147","botocore",1.3814,3.41
"194,731,974","urllib3",1.3197,4.73
"189,951,088","setuptools",1.2873,6.01
"182,794,090","requests",1.2388,7.25
"167,050,774","s3transfer",1.1321,8.38
"145,732,336","six",0.9876,9.37
"143,955,033","python-dateutil",0.9755,10.35
"135,997,482","pyyaml",0.9216,11.27
"134,225,672","idna",0.9096,12.18
"132,177,359","certifi",0.8957,13.07
"129,578,967","typing-extensions",0.8781,13.95
"124,332,306","charset-normalizer",0.8426,14.79
"121,578,688","awscli",0.8239,15.62
"104,841,272","wheel",0.7105,16.33
"101,964,980","numpy",0.6910,17.02
"98,391,775","rsa",0.6668,17.69
"97,368,871","cryptography",0.6598,18.35
"97,095,319","packaging",0.6580,19.00
"96,600,966","pyasn1",0.6546,19.66
"95,254,985","pyparsing",0.6455,20.30
"94,467,370","importlib-metadata",0.6402,20.94
"93,939,811","zipp",0.6366,21.58
"93,555,088","jmespath",0.6340,22.22
"90,705,177","colorama",0.6147,22.83
"90,132,288","google-api-core",0.6108,23.44
"85,416,173","pyjwt",0.5788,24.02
"81,211,718","click",0.5504,24.57
"80,355,951","pip",0.5446,25.11
"80,219,786","pytz",0.5436,25.66
"80,047,384","pandas",0.5425,26.20
"77,287,047","cffi",0.5238,26.72
"76,058,089","protobuf",0.5154,27.24
"75,604,134","oauthlib",0.5124,27.75
"74,768,603","attrs",0.5067,28.26
"69,334,911","requests-oauthlib",0.4699,28.73
"68,111,814","markupsafe",0.4616,29.19
"68,044,817","jinja2",0.4611,29.65
"66,763,291","pycparser",0.4524,30.10
"61,065,935","docutils",0.4138,30.52
"60,960,607","google-auth",0.4131,30.93
"58,720,083","cachetools",0.3979,31.33
"57,090,053","pyasn1-modules",0.3869,31.72
"53,325,810","wrapt",0.3614,32.08
"50,496,925","isodate",0.3422,32.42
"50,216,446","chardet",0.3403,32.76
"47,784,168","azure-core",0.3238,33.08
"45,970,964","sqlalchemy",0.3115,33.39
"44,776,707","psutil",0.3034,33.70
"43,325,760","pyarrow",0.2936,33.99
"42,396,536","googleapis-common-protos",0.2873,34.28
"41,693,705","decorator",0.2825,34.56
"40,752,387","async-timeout",0.2762,34.84
"40,710,304","werkzeug",0.2759,35.11
"40,469,769","aiohttp",0.2743,35.39
"40,259,180","scipy",0.2728,35.66
"40,137,162","msrest",0.2720,35.93
"40,110,052","multidict",0.2718,36.20
"39,756,428","grpcio",0.2694,36.47
"39,477,745","yarl",0.2675,36.74
"38,943,274","lxml",0.2639,37.01
"37,976,150","py",0.2574,37.26
"37,717,404","soupsieve",0.2556,37.52
"37,707,263","platformdirs",0.2555,37.77
"37,548,175","importlib-resources",0.2545,38.03
"37,373,873","azure-storage-blob",0.2533,38.28
"37,345,779","aiobotocore",0.2531,38.54
"37,259,307","pillow",0.2525,38.79
"37,211,145","google-cloud-storage",0.2522,39.04
"37,123,215","filelock",0.2516,39.29
"36,981,003","tqdm",0.2506,39.54
"36,898,391","tomli",0.2501,39.79
"36,347,795","google-cloud-core",0.2463,40.04
"36,263,720","beautifulsoup4",0.2458,40.28
"36,252,315","pytest",0.2457,40.53
"35,753,741","pluggy",0.2423,40.77
"35,106,675","websocket-client",0.2379,41.01
"34,883,539","jsonschema",0.2364,41.25
"34,742,568","google-cloud-bigquery",0.2354,41.48
"34,538,830","greenlet",0.2341,41.72
"33,878,033","pyopenssl",0.2296,41.95
"33,702,044","s3fs",0.2284,42.17
"33,341,391","tabulate",0.2259,42.40
"33,317,603","flask",0.2258,42.63
"33,152,853","frozenlist",0.2247,42.85
"32,881,703","azure-common",0.2228,43.07
"32,817,910","toml",0.2224,43.30
"32,668,145","future",0.2214,43.52
"32,662,939","fsspec",0.2213,43.74
"32,198,879","scikit-learn",0.2182,43.96
"31,919,070","aiosignal",0.2163,44.17
"31,077,256","pygments",0.2106,44.38
"30,747,589","httplib2",0.2084,44.59
"29,955,858","pynacl",0.2030,44.79
"29,955,037","pyrsistent",0.2030,45.00
"29,819,266","itsdangerous",0.2021,45.20
"29,499,364","asn1crypto",0.1999,45.40
"28,878,924","google-resumable-media",0.1957,45.60
"28,494,089","mypy-extensions",0.1931,45.79
"27,301,573","iniconfig",0.1850,45.97
"27,275,668","bcrypt",0.1848,46.16
"27,008,662","virtualenv",0.1830,46.34
"26,806,657","docker",0.1817,46.52
"26,720,812","paramiko",0.1811,46.70
"26,611,601","psycopg2-binary",0.1803,46.88
"26,314,874","openpyxl",0.1783,47.06
"26,301,937","et-xmlfile",0.1782,47.24
"25,578,520","requests-toolbelt",0.1733,47.41
"25,138,003","tzlocal",0.1704,47.58
"24,941,195","google-api-python-client",0.1690,47.75
"24,739,912","py4j",0.1677,47.92
"24,640,900","matplotlib",0.1670,48.09
"24,416,221","gitpython",0.1655,48.25
"24,280,728","distlib",0.1645,48.42
"23,318,528","smmap",0.1580,48.58
"23,140,853","portalocker",0.1568,48.73
"23,126,217","google-auth-oauthlib",0.1567,48.89
"22,947,383","gitdb",0.1555,49.05
"22,809,597","joblib",0.1546,49.20
"22,756,091","pymysql",0.1542,49.35
"22,555,024","uritemplate",0.1529,49.51
"22,405,253","kiwisolver",0.1518,49.66
"22,336,055","cython",0.1514,49.81
"22,094,081","pycryptodomex",0.1497,49.96
"22,056,419","msal",0.1495,50.11
"21,973,011","deprecated",0.1489,50.26
"21,920,032","redis",0.1485,50.41
"21,904,626","gunicorn",0.1484,50.56
"21,863,197","keyring",0.1482,50.70
"21,740,757","coverage",0.1473,50.85
"21,630,798","pycodestyle",0.1466,51.00
"21,530,329","adal",0.1459,51.14
"21,246,179","proto-plus",0.1440,51.29
"21,190,302","sqlparse",0.1436,51.43
"21,155,272","regex",0.1434,51.57
"20,998,855","cycler",0.1423,51.72
"20,582,756","cloudpickle",0.1395,51.86
"20,490,987","pexpect",0.1389,51.99
"20,469,386","tenacity",0.1387,52.13
"20,457,018","webencodings",0.1386,52.27
"20,415,954","ptyprocess",0.1384,52.41
"20,109,268","pydantic",0.1363,52.55
"20,031,438","pyspark",0.1357,52.68
"20,008,530","wcwidth",0.1356,52.82
"19,847,173","markdown",0.1345,52.95
"19,656,185","msal-extensions",0.1332,53.09
"19,387,163","mccabe",0.1314,53.22
"19,246,576","asynctest",0.1304,53.35
"19,137,101","isort",0.1297,53.48
"18,895,880","google-crc32c",0.1281,53.61
"18,844,148","google-auth-httplib2",0.1277,53.73
"18,713,606","datadog",0.1268,53.86
"18,519,208","termcolor",0.1255,53.99
"18,407,230","prometheus-client",0.1247,54.11
"18,230,966","pymongo",0.1235,54.23
"18,100,353","azure-identity",0.1227,54.36
"17,810,085","oauth2client",0.1207,54.48
"17,800,100","pyodbc",0.1206,54.60
"17,775,851","alembic",0.1205,54.72
"17,727,778","mako",0.1201,54.84
"17,638,182","msgpack",0.1195,54.96
"17,504,959","prompt-toolkit",0.1186,55.08
"17,265,856","absl-py",0.1170,55.19
"17,192,374","jeepney",0.1165,55.31
"17,151,638","pathspec",0.1162,55.43
"17,008,109","threadpoolctl",0.1153,55.54
"16,918,136","psycopg2",0.1147,55.66
"16,810,902","oscrypto",0.1139,55.77
"16,720,055","defusedxml",0.1133,55.88
"16,710,251","snowflake-connector-python",0.1132,56.00
"16,699,938","secretstorage",0.1132,56.11
"16,653,292","networkx",0.1129,56.22
"16,471,586","tzdata",0.1116,56.33
"16,244,129","cached-property",0.1101,56.44
"15,976,435","pbr",0.1083,56.55
"15,954,388","pytz-deprecation-shim",0.1081,56.66
"15,891,093","ipython",0.1077,56.77
"15,872,934","marshmallow",0.1076,56.88
"15,647,262","typing-inspect",0.1060,56.98
"15,621,998","xmltodict",0.1059,57.09
"15,412,186","sentry-sdk",0.1044,57.19
"15,212,219","dill",0.1031,57.30
"15,184,381","tornado",0.1029,57.40
"15,066,162","more-itertools",0.1021,57.50
"14,744,742","scramp",0.0999,57.60
"14,598,805","simplejson",0.0989,57.70
"14,364,768","ruamel-yaml",0.0973,57.80
"14,336,321","msrestazure",0.0972,57.89
"14,288,765","jedi",0.0968,57.99
"14,283,094","entrypoints",0.0968,58.09
"14,275,667","traitlets",0.0967,58.18
"14,229,731","xlrd",0.0964,58.28
"14,185,723","nest-asyncio",0.0961,58.38
"14,084,592","flake8",0.0954,58.47
"14,054,958","pyflakes",0.0952,58.57
"13,977,402","argcomplete",0.0947,58.66
"13,949,097","tensorflow",0.0945,58.76
"13,892,114","pkginfo",0.0941,58.85
"13,838,519","elasticsearch",0.0938,58.94
"13,592,426","tensorboard",0.0921,59.04
"13,579,398","imageio",0.0920,59.13
"13,510,101","databricks-cli",0.0916,59.22
"13,479,374","dnspython",0.0913,59.31
"13,467,914","ply",0.0913,59.40
"13,352,604","parso",0.0905,59.49
"13,247,637","bleach",0.0898,59.58
"13,205,990","babel",0.0895,59.67
"13,033,492","pickleshare",0.0883,59.76
"12,992,485","backports-zoneinfo",0.0880,59.85
"12,946,418","setuptools-scm",0.0877,59.94
"12,787,906","backcall",0.0867,60.02
"12,785,917","futures",0.0866,60.11
"12,734,643","azure-storage-common",0.0863,60.20
"12,714,317","ruamel-yaml-clib",0.0862,60.28
"12,696,626","h11",0.0860,60.37
"12,495,611","nltk",0.0847,60.45
"12,356,566","pytest-cov",0.0837,60.54
"12,223,522","toolz",0.0828,60.62
"11,905,207","sniffio",0.0807,60.70
"11,888,766","pyzmq",0.0806,60.78
"11,882,920","redshift-connector",0.0805,60.86
"11,818,663","backoff",0.0801,60.94
"11,802,191","gast",0.0800,61.02
"11,800,115","pg8000",0.0800,61.10
"11,778,910","contextlib2",0.0798,61.18
"11,693,830","jupyter-client",0.0792,61.26
"11,675,620","configparser",0.0791,61.34
"11,623,471","fonttools",0.0788,61.42
"11,560,451","h5py",0.0783,61.50
"11,416,990","black",0.0774,61.57
"11,356,056","aioitertools",0.0770,61.65
"11,341,866","python-dotenv",0.0769,61.73
"11,314,941","typed-ast",0.0767,61.80
"11,242,423","tensorflow-serving-api",0.0762,61.88
"11,157,919","libcst",0.0756,61.96
"11,116,767","lazy-object-proxy",0.0753,62.03
"11,029,630","websockets",0.0747,62.11
"10,972,914","azure-mgmt-resource",0.0744,62.18
"10,835,861","ipykernel",0.0734,62.25
"10,824,785","applicationinsights",0.0734,62.33
"10,802,302","ujson",0.0732,62.40
"10,703,163","jupyter-core",0.0725,62.47
"10,692,543","dataclasses",0.0725,62.55
"10,664,076","poetry-core",0.0723,62.62
"10,643,780","matplotlib-inline",0.0721,62.69
"10,625,410","pyathena",0.0720,62.76
"10,624,598","sortedcontainers",0.0720,62.83
"10,618,468","zope-interface",0.0720,62.91
"10,489,868","nbconvert",0.0711,62.98
"10,462,170","appdirs",0.0709,63.05
"10,382,862","tensorflow-estimator",0.0704,63.12
"10,247,694","mistune",0.0694,63.19
"10,117,911","nbformat",0.0686,63.26
"10,096,005","prometheus-flask-exporter",0.0684,63.33
"10,050,203","mlflow",0.0681,63.39
"10,048,163","humanfriendly",0.0681,63.46
"9,921,898","kubernetes",0.0672,63.53
"9,896,573","jsonpickle",0.0671,63.60
"9,789,643","notebook",0.0663,63.66
"9,752,296","jsonpath-ng",0.0661,63.73
"9,722,419","astroid",0.0659,63.79
"9,709,034","mock",0.0658,63.86
"9,701,863","pysocks",0.0657,63.93
"9,666,547","requests-aws4auth",0.0655,63.99
"9,660,975","pycryptodome",0.0655,64.06
"9,607,032","pylint",0.0651,64.12
"9,542,446","azure-nspkg",0.0647,64.19
