"download_count","project"
267740673,"boto3"
203850147,"botocore"
194731974,"urllib3"
189951088,"setuptools"
182794090,"requests"
167050774,"s3transfer"
145732336,"six"
143955033,"python-dateutil"
135997482,"pyyaml"
134225672,"idna"
132177359,"certifi"
129578967,"typing-extensions"
124332306,"charset-normalizer"
121578688,"awscli"
104841272,"wheel"
101964980,"numpy"
98391775,"rsa"
97368871,"cryptography"
97095319,"packaging"
96600966,"pyasn1"
95254985,"pyparsing"
94467370,"importlib-metadata"
93939811,"zipp"
93555088,"jmespath"
90705177,"colorama"
90132288,"google-api-core"
85416173,"pyjwt"
81211718,"click"
80355951,"pip"
80219786,"pytz"
80047384,"pandas"
77287047,"cffi"
76058089,"protobuf"
75604134,"oauthlib"
74768603,"attrs"
69334911,"requests-oauthlib"
68111814,"markupsafe"
68044817,"jinja2"
66763291,"pycparser"
61065935,"docutils"
60960607,"google-auth"
58720083,"cachetools"
57090053,"pyasn1-modules"
53325810,"wrapt"
50496925,"isodate"
50216446,"chardet"
47784168,"azure-core"
45970964,"sqlalchemy"
44776707,"psutil"
43325760,"pyarrow"
42396536,"googleapis-common-protos"
41693705,"decorator"
40752387,"async-timeout"
40710304,"werkzeug"
40469769,"aiohttp"
40259180,"scipy"
40137162,"msrest"
40110052,"multidict"
39756428,"grpcio"
39477745,"yarl"
38943274,"lxml"
37976150,"py"
37717404,"soupsieve"
37707263,"platformdirs"
37548175,"importlib-resources"
37373873,"azure-storage-blob"
37345779,"aiobotocore"
37259307,"pillow"
37211145,"google-cloud-storage"
37123215,"filelock"
36981003,"tqdm"
36898391,"tomli"
36347795,"google-cloud-core"
36263720,"beautifulsoup4"
36252315,"pytest"
35753741,"pluggy"
35106675,"websocket-client"
34883539,"jsonschema"
34742568,"google-cloud-bigquery"
34538830,"greenlet"
33878033,"pyopenssl"
33702044,"s3fs"
33341391,"tabulate"
33317603,"flask"
33152853,"frozenlist"
32881703,"azure-common"
32817910,"toml"
32668145,"future"
32662939,"fsspec"
32198879,"scikit-learn"
31919070,"aiosignal"
31077256,"pygments"
30747589,"httplib2"
29955858,"pynacl"
29955037,"pyrsistent"
29819266,"itsdangerous"
29499364,"asn1crypto"
28878924,"google-resumable-media"
28494089,"mypy-extensions"
27301573,"iniconfig"
27275668,"bcrypt"
27008662,"virtualenv"
26806657,"docker"
26720812,"paramiko"
26611601,"psycopg2-binary"
26314874,"openpyxl"
26301937,"et-xmlfile"
25578520,"requests-toolbelt"
25138003,"tzlocal"
24941195,"google-api-python-client"
24739912,"py4j"
24640900,"matplotlib"
24416221,"gitpython"
24280728,"distlib"
23318528,"smmap"
23140853,"portalocker"
23126217,"google-auth-oauthlib"
22947383,"gitdb"
22809597,"joblib"
22756091,"pymysql"
22555024,"uritemplate"
22405253,"kiwisolver"
22336055,"cython"
22094081,"pycryptodomex"
22056419,"msal"
21973011,"deprecated"
21920032,"redis"
21904626,"gunicorn"
21863197,"keyring"
21740757,"coverage"
21630798,"pycodestyle"
21530329,"adal"
21246179,"proto-plus"
21190302,"sqlparse"
21155272,"regex"
20998855,"cycler"
20582756,"cloudpickle"
20490987,"pexpect"
20469386,"tenacity"
20457018,"webencodings"
20415954,"ptyprocess"
20109268,"pydantic"
20031438,"pyspark"
20008530,"wcwidth"
19847173,"markdown"
19656185,"msal-extensions"
19387163,"mccabe"
19246576,"asynctest"
19137101,"isort"
18895880,"google-crc32c"
18844148,"google-auth-httplib2"
18713606,"datadog"
18519208,"termcolor"
18407230,"prometheus-client"
18230966,"pymongo"
18100353,"azure-identity"
17810085,"oauth2client"
17800100,"pyodbc"
17775851,"alembic"
17727778,"mako"
17638182,"msgpack"
17504959,"prompt-toolkit"
17265856,"absl-py"
17192374,"jeepney"
17151638,"pathspec"
17008109,"threadpoolctl"
16918136,"psycopg2"
16810902,"oscrypto"
16720055,"defusedxml"
16710251,"snowflake-connector-python"
16699938,"secretstorage"
16653292,"networkx"
16471586,"tzdata"
16244129,"cached-property"
15976435,"pbr"
15954388,"pytz-deprecation-shim"
15891093,"ipython"
15872934,"marshmallow"
15647262,"typing-inspect"
15621998,"xmltodict"
15412186,"sentry-sdk"
15212219,"dill"
15184381,"tornado"
15066162,"more-itertools"
14744742,"scramp"
14598805,"simplejson"
14364768,"ruamel-yaml"
14336321,"msrestazure"
14288765,"jedi"
14283094,"entrypoints"
14275667,"traitlets"
14229731,"xlrd"
14185723,"nest-asyncio"
14084592,"flake8"
14054958,"pyflakes"
13977402,"argcomplete"
13949097,"tensorflow"
13892114,"pkginfo"
13838519,"elasticsearch"
13592426,"tensorboard"
13579398,"imageio"
13510101,"databricks-cli"
13479374,"dnspython"
13467914,"ply"
13352604,"parso"
13247637,"bleach"
13205990,"babel"
13033492,"pickleshare"
12992485,"backports-zoneinfo"
12946418,"setuptools-scm"
12787906,"backcall"
12785917,"futures"
12734643,"azure-storage-common"
12714317,"ruamel-yaml-clib"
12696626,"h11"
12495611,"nltk"
12356566,"pytest-cov"
12223522,"toolz"
11905207,"sniffio"
11888766,"pyzmq"
11882920,"redshift-connector"
11818663,"backoff"
11802191,"gast"
11800115,"pg8000"
11778910,"contextlib2"
11693830,"jupyter-client"
11675620,"configparser"
11623471,"fonttools"
11560451,"h5py"
11416990,"black"
11356056,"aioitertools"
11341866,"python-dotenv"
11314941,"typed-ast"
11242423,"tensorflow-serving-api"
11157919,"libcst"
11116767,"lazy-object-proxy"
11029630,"websockets"
10972914,"azure-mgmt-resource"
10835861,"ipykernel"
10824785,"applicationinsights"
10802302,"ujson"
10703163,"jupyter-core"
10692543,"dataclasses"
10664076,"poetry-core"
10643780,"matplotlib-inline"
10625410,"pyathena"
10624598,"sortedcontainers"
10618468,"zope-interface"
10489868,"nbconvert"
10462170,"appdirs"
10382862,"tensorflow-estimator"
10247694,"mistune"
10117911,"nbformat"
10096005,"prometheus-flask-exporter"
10050203,"mlflow"
10048163,"humanfriendly"
9921898,"kubernetes"
9896573,"jsonpickle"
9789643,"notebook"
9752296,"jsonpath-ng"
9722419,"astroid"
9709034,"mock"
9701863,"pysocks"
9666547,"requests-aws4auth"
9660975,"pycryptodome"
9607032,"pylint"
9542446,"azure-nspkg"
9536598,"html5lib"
9422448,"ipython-genutils"
9422409,"mypy"
9377825,"docopt"
9369942,"querystring-parser"
9365171,"awswrangler"
9291626,"nbclient"
9264672,"text-unidecode"
9256143,"smart-open"
9252917,"graphviz"
9239051,"google-pasta"
9168227,"typing"
9157570,"asgiref"
9118308,"boto"
9100971,"distro"
8955491,"anyio"
8943870,"mysql-connector-python"
8935732,"rfc3986"
8916368,"pandocfilters"
8896876,"requests-file"
8892351,"lockfile"
8823047,"keras-preprocessing"
8623962,"keras"
8589744,"marshmallow-enum"
8559138,"debugpy"
8547073,"grpcio-status"
8513833,"send2trash"
8478410,"argon2-cffi"
8467448,"jupyterlab-pygments"
8462866,"xlsxwriter"
8364074,"jsonpointer"
8346536,"terminado"
8342383,"progressbar2"
8338684,"responses"
8334691,"python-utils"
8279790,"seaborn"
8255428,"numba"
8128890,"azure-mgmt-storage"
8014475,"python-editor"
7984624,"tensorboard-plugin-wit"
7974310,"cachecontrol"
7893242,"fastavro"
7880236,"selenium"
7757523,"statsmodels"
7714259,"torch"
7646569,"unidecode"
7623298,"gspread"
7614772,"google-cloud-bigquery-storage"
7603080,"argon2-cffi-bindings"
7585389,"xgboost"
7570050,"retrying"
7536734,"knack"
7516218,"ipywidgets"
7508552,"widgetsnbextension"
7500881,"llvmlite"
7431955,"opt-einsum"
7351647,"jsonpatch"
7342198,"tomlkit"
7310526,"google-cloud-secret-manager"
7284331,"azure-mgmt-core"
7213082,"azure-mgmt-keyvault"
7195872,"lightgbm"
7108455,"fastjsonschema"
7080492,"apache-beam"
7058616,"plotly"
6966435,"colorlog"
6928579,"pysftp"
6871395,"pytest-runner"
6858492,"python-http-client"
6858060,"azure-mgmt-containerregistry"
6844725,"shapely"
6822432,"jupyterlab-widgets"
6781569,"pendulum"
6778174,"tensorboard-data-server"
6698051,"django"
6626810,"slackclient"
6579394,"tokenizers"
6575489,"pygithub"
6571564,"apscheduler"
6529747,"sacremoses"
6526659,"enum34"
6490206,"grpc-google-iam-v1"
6455063,"uamqp"
6454613,"brotli"
6450838,"opencensus"
6444022,"kafka-python"
6438558,"stevedore"
6431035,"opensearch-py"
6422058,"opencensus-context"
6399692,"astunparse"
6361508,"azure-storage-queue"
6359802,"patsy"
6359629,"ijson"
6350919,"azure-keyvault-secrets"
6344650,"flatbuffers"
6324587,"azure-keyvault"
6317868,"arrow"
6286456,"gevent"
6284387,"rich"
6274274,"shellingham"
6266098,"altair"
6245159,"avro-python3"
6148961,"pywavelets"
6122669,"poetry"
6120586,"python-slugify"
6090287,"inflection"
6072471,"aenum"
6062801,"sendgrid"
5988388,"uvicorn"
5944765,"typer"
5944515,"retry"
5927769,"fuzzywuzzy"
5922101,"pylev"
5907266,"pathlib2"
5900726,"snowballstemmer"
5897311,"prettytable"
5882287,"pycrypto"
5875664,"pytzdata"
5846888,"stringcase"
5834304,"starlette"
5832111,"cleo"
5818467,"clikit"
5808971,"pastel"
5785638,"cachy"
5784509,"cattrs"
5770653,"crashtest"
5762448,"pep517"
5729743,"azure-storage-file-datalake"
5696029,"pycountry"
5691655,"testpath"
5689235,"dask"
5686393,"dataclasses-json"
5680566,"bs4"
5672903,"argparse"
5662978,"apache-airflow"
5654319,"transformers"
5602634,"watchdog"
5582270,"google-cloud-pubsub"
5565128,"azureml-core"
